Atherosclerosis Susceptibility All genes (86),Atrial Fibrillation All genes (62),Expanded Takotsubo Cardiomyopathy (combo.),Olivas Sex Differences ,Naqvi Cardiac Sex Bias,RM Cardiac Sex Bias,Yang Pregnancy Genes ,Chung Pregnancy Genes,Hart Non-essentials,Hart Common Essentials
ATHS,SCN5A,ADRB1,,PLIN3,ZFX,RASAL2,PRAMEF9,ABCG8,ALYREF
CDKN2B-AS1,GJA5,BAG3,,PRELID1,TNFRSF12A,DPT,PRAMEF2,ACCSL,AQR
NFIA-AS1,KCNQ1,AR,,ERGIC2,SCN4A,UCK2,PRAMEF1,ACTL7A,ARCN1
TP53COR1,NPPA,ADRA2C,,LARS,SDK2,PROX1,PRAMEF8,ACTL7B,BRIX1
TUG1,KCNA5,EIF4E,,ZBTB16,FSTL3,DTL,PRAMEF12,ACTL9,C12orf66
LRP2BP-AS1,NUP155,MTOR,,TTLL5,FSCN1,NEK2,PRAMEF17,ACTRT1,CCT3
HOXC-AS1,SCN2B,PIK3CG,,CCT2,LAMP3,CD34,PRAMEF5,ADAD1,CCT4
H19,KCNJ2,PTEN,,BCL2L1,APOB,VIM,PRAMEF27,ADAM18,CCT6A
HULC,SNTA1,SLC24A3,,NPHP1,HSD17B14,CRY2,PRAMEF10,ADAM2,CCT7
ALOX5,NPPB,SLN,,FAM216A,TF,BDNF,PRAMEF20,ADAM20,CCT8
APOE,VKORC1,TPO,,DERL2,TUBB1,IVD,PRAMEF33,ADAM30,CDC40
TLR4,HCN4,PRKCA,,ALG11,RNF125,APEX2,PRAMEF25,ADH7,CDC5L
ANGPTL3,ACE,PIK3R1,,RPGR,AMMECR1,TPM3,PRAMEF4,AFM,CDK17
CRP,ZFHX3,GSK3B,,LPL,PIM2,ECM1,PRAMEF13,AICDA,CHD4
APOB,KCNE2,PPP2CA,,CLTA,PYCARD,ALDOB,PRAMEF26,AIPL1,CHMP2A
APOA1,TBX5,UCP3,,ARMC1,SLC1A5,CLSPN,PRAMEF15,ALPI,CLTC
SREBF2,SCN3B,ACAA2,,EI24,DNASE2,EMILIN1,PRAMEF6,ALPPL2,COPA
INS,SCN1B,PFKFB1,,FURIN,JAK3,FRYL,PRAMEF18,ALX3,COPB1
VCAM1,F2,POSTN,,EIF1AX,IMPDH1,PF4,SP100,AMELX,COPS2
CCL2,CYP4F2,LOX,,HACD2,GALNT18,PHKG1,PRAMEF19,ANKRD30A,COPS4
ABCA1,SCN4B,ESR1,,RAPH1,VWF,FRY,PRAMEF11,ANKRD60,COPS6
PON1,AGT,COL1A1,,BCAP31,EYA4,CAPG,PRAMEF14,ANTXRL,COPS8
ADIPOQ,MYL4,ACTA1,,KDM5C,SLC29A1,RET,SP110,APOA4,COPZ1
IL6,ANK2,RCAN1,,RPS4X,RIMS3,MFAP5,PRAMEF7,APOBEC1,CSE1L
CETP,KCNE1,GRK5,,CDKN1A,RPS6KA1,PTMS,C12orf75,APOF,CTDNEP1
