gene,ps,mrca_name
SERPINA2,1,Cellular Organisms: 3.6 BYA
GMPPA,1,Cellular Organisms: 3.6 BYA
IDS,1,Cellular Organisms: 3.6 BYA
RPS6KA2,1,Cellular Organisms: 3.6 BYA
SLC7A5,1,Cellular Organisms: 3.6 BYA
NA,1,Cellular Organisms: 3.6 BYA
INTS11,1,Cellular Organisms: 3.6 BYA
KIT,1,Cellular Organisms: 3.6 BYA
TTC7A,1,Cellular Organisms: 3.6 BYA
ALDH1A3,1,Cellular Organisms: 3.6 BYA
SDR39U1,1,Cellular Organisms: 3.6 BYA
IVD,1,Cellular Organisms: 3.6 BYA
ADSL,1,Cellular Organisms: 3.6 BYA
IARS1,1,Cellular Organisms: 3.6 BYA
GALT,1,Cellular Organisms: 3.6 BYA
SHMT2,1,Cellular Organisms: 3.6 BYA
TRPV5,1,Cellular Organisms: 3.6 BYA
AQP7B,1,Cellular Organisms: 3.6 BYA
KCNAB1,1,Cellular Organisms: 3.6 BYA
NRDC,1,Cellular Organisms: 3.6 BYA
PEPD,1,Cellular Organisms: 3.6 BYA
PMS1,1,Cellular Organisms: 3.6 BYA
TRIM2,1,Cellular Organisms: 3.6 BYA
ACVRL1,1,Cellular Organisms: 3.6 BYA
CPSF3,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
SLC13A3,1,Cellular Organisms: 3.6 BYA
TAP2,1,Cellular Organisms: 3.6 BYA
PMPCB,1,Cellular Organisms: 3.6 BYA
FGFR2,1,Cellular Organisms: 3.6 BYA
CSNK1G1,1,Cellular Organisms: 3.6 BYA
MCCC1,1,Cellular Organisms: 3.6 BYA
TRMU,1,Cellular Organisms: 3.6 BYA
MUTYH,1,Cellular Organisms: 3.6 BYA
VARS1,1,Cellular Organisms: 3.6 BYA
NME1,1,Cellular Organisms: 3.6 BYA
NDUFA10,1,Cellular Organisms: 3.6 BYA
TMTC2,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
FBXO3,1,Cellular Organisms: 3.6 BYA
FER,1,Cellular Organisms: 3.6 BYA
ERBB3,1,Cellular Organisms: 3.6 BYA
MAK,1,Cellular Organisms: 3.6 BYA
ANK2,1,Cellular Organisms: 3.6 BYA
DLAT,1,Cellular Organisms: 3.6 BYA
ANKRD11,1,Cellular Organisms: 3.6 BYA
GNS,1,Cellular Organisms: 3.6 BYA
SLC26A5,1,Cellular Organisms: 3.6 BYA
VARS2,1,Cellular Organisms: 3.6 BYA
ADH1B,1,Cellular Organisms: 3.6 BYA
ESD,1,Cellular Organisms: 3.6 BYA
HYOU1,1,Cellular Organisms: 3.6 BYA
NFS1,1,Cellular Organisms: 3.6 BYA
DCLRE1C,1,Cellular Organisms: 3.6 BYA
MTO1,1,Cellular Organisms: 3.6 BYA
MRPS5,1,Cellular Organisms: 3.6 BYA
STK24,1,Cellular Organisms: 3.6 BYA
HARS2,1,Cellular Organisms: 3.6 BYA
PTGES3L-AARSD1,1,Cellular Organisms: 3.6 BYA
ALG5,1,Cellular Organisms: 3.6 BYA
HAS1,1,Cellular Organisms: 3.6 BYA
SERPINA6,1,Cellular Organisms: 3.6 BYA
HSD17B3,1,Cellular Organisms: 3.6 BYA
EPHA10,1,Cellular Organisms: 3.6 BYA
DPM1,1,Cellular Organisms: 3.6 BYA
EPHB6,1,Cellular Organisms: 3.6 BYA
HYOU1,1,Cellular Organisms: 3.6 BYA
RPS6KA1,1,Cellular Organisms: 3.6 BYA
SLC26A5,1,Cellular Organisms: 3.6 BYA
CS,1,Cellular Organisms: 3.6 BYA
CES5A,1,Cellular Organisms: 3.6 BYA
SHMT2,1,Cellular Organisms: 3.6 BYA
SMC1A,1,Cellular Organisms: 3.6 BYA
IARS1,1,Cellular Organisms: 3.6 BYA
ALDH3A2,1,Cellular Organisms: 3.6 BYA
DDX56,1,Cellular Organisms: 3.6 BYA
GATB,1,Cellular Organisms: 3.6 BYA
HARS1,1,Cellular Organisms: 3.6 BYA
SDR16C5,1,Cellular Organisms: 3.6 BYA
ACADM,1,Cellular Organisms: 3.6 BYA
DDX19B,1,Cellular Organisms: 3.6 BYA
VARS2,1,Cellular Organisms: 3.6 BYA
TBK1,1,Cellular Organisms: 3.6 BYA
ABHD5,1,Cellular Organisms: 3.6 BYA
ERBIN,1,Cellular Organisms: 3.6 BYA
CARS1,1,Cellular Organisms: 3.6 BYA
AQP7B,1,Cellular Organisms: 3.6 BYA
HSPA9,1,Cellular Organisms: 3.6 BYA
MTHFD1L,1,Cellular Organisms: 3.6 BYA
FKBP15,1,Cellular Organisms: 3.6 BYA
IKBKB,1,Cellular Organisms: 3.6 BYA
JAK1,1,Cellular Organisms: 3.6 BYA
CDK7,1,Cellular Organisms: 3.6 BYA
MRPL27,1,Cellular Organisms: 3.6 BYA
EHMT2,1,Cellular Organisms: 3.6 BYA
PRPSAP1,1,Cellular Organisms: 3.6 BYA
RARS2,1,Cellular Organisms: 3.6 BYA
DCLK2,1,Cellular Organisms: 3.6 BYA
GALK2,1,Cellular Organisms: 3.6 BYA
IVD,1,Cellular Organisms: 3.6 BYA
CSNK1G3,1,Cellular Organisms: 3.6 BYA
RPS6KA1,1,Cellular Organisms: 3.6 BYA
UQCRC2,1,Cellular Organisms: 3.6 BYA
MTO1,1,Cellular Organisms: 3.6 BYA
PTK2,1,Cellular Organisms: 3.6 BYA
CTPS1,1,Cellular Organisms: 3.6 BYA
SPTLC1,1,Cellular Organisms: 3.6 BYA
IMPA2,1,Cellular Organisms: 3.6 BYA
RAF1,1,Cellular Organisms: 3.6 BYA
POLL,1,Cellular Organisms: 3.6 BYA
EHMT2,1,Cellular Organisms: 3.6 BYA
SHOC2,1,Cellular Organisms: 3.6 BYA
HEL-S-117,1,Cellular Organisms: 3.6 BYA
IBTK,1,Cellular Organisms: 3.6 BYA
HYOU1,1,Cellular Organisms: 3.6 BYA
PRKACA,1,Cellular Organisms: 3.6 BYA
NA,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
KLHL13,1,Cellular Organisms: 3.6 BYA
LRSAM1,1,Cellular Organisms: 3.6 BYA
THBS3,1,Cellular Organisms: 3.6 BYA
BDH1,1,Cellular Organisms: 3.6 BYA
AURKC,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
SLC37A4,1,Cellular Organisms: 3.6 BYA
LIAS,1,Cellular Organisms: 3.6 BYA
PECR,1,Cellular Organisms: 3.6 BYA
BDH1,1,Cellular Organisms: 3.6 BYA
IDH3B,1,Cellular Organisms: 3.6 BYA
SERPINA3,1,Cellular Organisms: 3.6 BYA
ALK,1,Cellular Organisms: 3.6 BYA
CAMK2D,1,Cellular Organisms: 3.6 BYA
NOTCH4,1,Cellular Organisms: 3.6 BYA
PYCR3,1,Cellular Organisms: 3.6 BYA
POLDIP2,1,Cellular Organisms: 3.6 BYA
TRPC7,1,Cellular Organisms: 3.6 BYA
AAMDC,1,Cellular Organisms: 3.6 BYA
DDX10,1,Cellular Organisms: 3.6 BYA
SLC6A15,1,Cellular Organisms: 3.6 BYA
AQP7,1,Cellular Organisms: 3.6 BYA
MAPK10,1,Cellular Organisms: 3.6 BYA
ACSS3,1,Cellular Organisms: 3.6 BYA
ATP7A,1,Cellular Organisms: 3.6 BYA
FTH1,1,Cellular Organisms: 3.6 BYA
PAK1,1,Cellular Organisms: 3.6 BYA
TMX3,1,Cellular Organisms: 3.6 BYA
DECR2,1,Cellular Organisms: 3.6 BYA
SLC2A8,1,Cellular Organisms: 3.6 BYA
HIPK1,1,Cellular Organisms: 3.6 BYA
DDX49,1,Cellular Organisms: 3.6 BYA
DDX3X,1,Cellular Organisms: 3.6 BYA
BDH1,1,Cellular Organisms: 3.6 BYA
DHRS1,1,Cellular Organisms: 3.6 BYA
PFKM,1,Cellular Organisms: 3.6 BYA
STRADA,1,Cellular Organisms: 3.6 BYA
OXNAD1,1,Cellular Organisms: 3.6 BYA
ARSL,1,Cellular Organisms: 3.6 BYA
CASK,1,Cellular Organisms: 3.6 BYA
NAPRT,1,Cellular Organisms: 3.6 BYA
ANKRD28,1,Cellular Organisms: 3.6 BYA
DICER1,1,Cellular Organisms: 3.6 BYA
HSD17B3,1,Cellular Organisms: 3.6 BYA
ETFDH,1,Cellular Organisms: 3.6 BYA
RPS6KA3,1,Cellular Organisms: 3.6 BYA
MSH2,1,Cellular Organisms: 3.6 BYA
SLC26A6,1,Cellular Organisms: 3.6 BYA
WNK2,1,Cellular Organisms: 3.6 BYA
BMP2K,1,Cellular Organisms: 3.6 BYA
EHMT2,1,Cellular Organisms: 3.6 BYA
MDH2,1,Cellular Organisms: 3.6 BYA
TXK,1,Cellular Organisms: 3.6 BYA
HSD17B3,1,Cellular Organisms: 3.6 BYA
PMS2,1,Cellular Organisms: 3.6 BYA
TRIM2,1,Cellular Organisms: 3.6 BYA
ATP2C1,1,Cellular Organisms: 3.6 BYA
DLG1,1,Cellular Organisms: 3.6 BYA
HYOU1,1,Cellular Organisms: 3.6 BYA
KLHL12,1,Cellular Organisms: 3.6 BYA
OGT,1,Cellular Organisms: 3.6 BYA
P4HB,1,Cellular Organisms: 3.6 BYA
ASB2,1,Cellular Organisms: 3.6 BYA
MSH5-SAPCD1,1,Cellular Organisms: 3.6 BYA
ANK2,1,Cellular Organisms: 3.6 BYA
MCCC2,1,Cellular Organisms: 3.6 BYA
DMGDH,1,Cellular Organisms: 3.6 BYA
DCAKD,1,Cellular Organisms: 3.6 BYA
AMT,1,Cellular Organisms: 3.6 BYA
MAP4K4,1,Cellular Organisms: 3.6 BYA
ARSA,1,Cellular Organisms: 3.6 BYA
ETFA,1,Cellular Organisms: 3.6 BYA
GFUS,1,Cellular Organisms: 3.6 BYA
HACL1,1,Cellular Organisms: 3.6 BYA
SERPINA1,1,Cellular Organisms: 3.6 BYA
FBXO3,1,Cellular Organisms: 3.6 BYA
GLYCTK,1,Cellular Organisms: 3.6 BYA
HYOU1,1,Cellular Organisms: 3.6 BYA
FAP,1,Cellular Organisms: 3.6 BYA
DECR2,1,Cellular Organisms: 3.6 BYA
PPIL2,1,Cellular Organisms: 3.6 BYA
AARS1,1,Cellular Organisms: 3.6 BYA
EPHB6,1,Cellular Organisms: 3.6 BYA
HYOU1,1,Cellular Organisms: 3.6 BYA
CYB5R3,1,Cellular Organisms: 3.6 BYA
PKMYT1,1,Cellular Organisms: 3.6 BYA
SLC12A2,1,Cellular Organisms: 3.6 BYA
ETFA,1,Cellular Organisms: 3.6 BYA
STK16,1,Cellular Organisms: 3.6 BYA
STRADA,1,Cellular Organisms: 3.6 BYA
